Incident_ID, Date, Time, Location, Description, Type_of_Crime, Victim, Perpetrator
1, 2024-05-04, 14:30, New York, Phishing attack on XYZ company's employees, Fraud, XYZ Company, Unknown
2, 2024-05-03, 09:00, London, Ransomware attack on ABC organization's servers, Extortion, ABC Organization, Hacker Group A
3, 2024-05-02, 12:45, Tokyo, Identity theft reported by individual, Identity Theft, John Doe, Unknown
4, 2024-05-01, 16:20, Berlin, Distributed Denial of Service (DDoS) attack on government website, Sabotage, Government Agency, Hacktivist Group B
5, 2024-04-30, 10:10, Paris, Data breach at financial institution, Data Breach, Financial Institution, Insider Employee
6, 2024-04-29, 11:11, Sydney, Social engineering attack on healthcare provider, Fraud, Healthcare Provider, Scammer Group C
7, 2024-04-28, 08:45, Moscow, Malware infection on university's network, Cyber Espionage, University, State-Sponsored Group D
8, 2024-04-27, 15:55, Beijing, Insider trading discovered at investment firm, Financial Fraud, Investment Firm, Insider Employee
9, 2024-04-26, 13:20, Mumbai, Online harassment case reported by individual, Harassment, Individual, Cyberbully
10, 2024-04-25, 17:30, Sao Paulo, Credit card fraud reported by bank customers, Financial Fraud, Bank, Identity Theft Ring
11, 2024-04-24, 14:20, Los Angeles, Phishing scam targeting social media users, Fraud, Social Media Users, Cybercriminal Group A
12, 2024-04-23, 09:45, Toronto, Email account compromise at a law firm, Identity Theft, Law Firm, Unknown
13, 2024-04-22, 11:55, Chicago, Cyberbullying incident reported by high school student, Harassment, High School Student, Online Bully
14, 2024-04-21, 16:10, Sydney, Unauthorized access to government database, Unauthorized Access, Government Agency, Insider Employee
15, 2024-04-20, 12:30, Paris, Cryptojacking attack on a cryptocurrency exchange, Theft of Computing Resources, Cryptocurrency Exchange, Hacker Group B
16, 2024-04-19, 10:05, London, Phishing email targeting banking customers, Fraud, Banking Customers, Phishing Gang
17, 2024-04-18, 15:15, Tokyo, Healthcare data breach affecting patients' records, Data Breach, Hospital, Insider Employee
18, 2024-04-17, 09:25, New York, DDoS attack on a popular gaming platform, Sabotage, Gaming Company, Hacker Group C
19, 2024-04-16, 13:40, Mumbai, Identity theft via fraudulent credit card application, Identity Theft, Individual, Fraudster
20, 2024-04-15, 17:50, Beijing, Insider trading scheme uncovered at a financial institution, Financial Fraud, Financial Institution, Insider Employee
21, 2024-04-14, 14:15, Berlin, Social media account hijacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group D
22, 2024-04-13, 10:30, Sao Paulo, Cyber extortion targeting small businesses, Extortion, Small Business Owners, Ransomware Gang
23, 2024-04-12, 11:20, Moscow, Phishing attack on a government agency's employees, Fraud, Government Agency, Hacker Group E
24, 2024-04-11, 16:35, Los Angeles, Online harassment and stalking reported by a celebrity, Harassment, Celebrity, Stalker
25, 2024-04-10, 09:55, Toronto, Unauthorized access to financial institution's customer data, Unauthorized Access, Financial Institution, Insider Employee
26, 2024-04-09, 12:05, Chicago, Email spoofing attack targeting a university's faculty, Fraud, University, Phishing Gang
27, 2024-04-08, 15:25, Sydney, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
28, 2024-04-07, 09:45, Paris, Ransomware attack on a city's public transportation system, Extortion, City Administration, Hacker Group F
29, 2024-04-06, 13:55, London, Social media harassment and doxxing incident reported, Harassment, Individual, Cyberbully
30, 2024-04-05, 10:10, Tokyo, Cyber espionage targeting defense contractors, Cyber Espionage, Defense Contractors, State-Sponsored Group G
31, 2024-04-04, 14:30, New York, Data breach at a technology company, Data Breach, Technology Company, Insider Employee
32, 2024-04-03, 09:00, Beijing, Phishing scam targeting online shoppers, Fraud, Online Shoppers, Phishing Gang
33, 2024-04-02, 12:45, Mumbai, Identity theft via fake job offer scam, Identity Theft, Job Seekers, Scammer Group H
34, 2024-04-01, 16:20, Sao Paulo, Distributed denial-of-service (DDoS) attack on a political party's website, Sabotage, Political Party, Hacktivist Group I
35, 2024-03-31, 10:30, Moscow, Unauthorized access to confidential legal documents, Unauthorized Access, Law Firm, Insider Employee
36, 2024-03-30, 08:40, Berlin, CEO email spoofing incident targeting a corporation, Fraud, Corporation, Business Email Compromise Group A
37, 2024-03-29, 11:15, Los Angeles, Cyberstalking and harassment case reported by a journalist, Harassment, Journalist, Online Stalker
38, 2024-03-28, 14:45, Toronto, Insider trading scandal at a brokerage firm, Financial Fraud, Brokerage Firm, Insider Employee
39, 2024-03-27, 09:35, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group J
40, 2024-03-26, 13:50, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
41, 2024-03-25, 17:55, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
42, 2024-03-24, 10:25, Tokyo, Social media account hacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group K
43, 2024-03-23, 12:35, New York, Unauthorized access to financial institution's servers, Unauthorized Access, Financial Institution, Insider Employee
44, 2024-03-22, 16:45, Beijing, Phishing email scam targeting senior citizens, Fraud, Senior Citizens, Phishing Gang
45, 2024-03-21, 08:50, Mumbai, Insider trading investigation at an investment bank, Financial Fraud, Investment Bank, Insider Employee
46, 2024-03-20, 11:10, Sao Paulo, Data breach at a telecommunications company, Data Breach, Telecommunications Company, Insider Employee
47, 2024-03-19, 14:20, Moscow, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group B
48, 2024-03-18, 09:40, Berlin, Phishing attack on a charity organization's donors, Fraud, Donors, Phishing Gang
49, 2024-03-17, 13:15, Los Angeles, Online harassment and cyberbullying incident reported, Harassment, Individual, Cyberbully
50, 2024-03-16, 15:30, Toronto, Cyber espionage targeting government officials, Cyber Espionage, Government Officials, State-Sponsored Group L
51, 2024-03-15, 10:20, Sydney, Insider trading probe at a hedge fund, Financial Fraud, Hedge Fund, Insider Employee
52, 2024-03-14, 12:50, Paris, Phishing attack on a university's students and faculty, Fraud, University, Phishing Gang
53, 2024-03-13, 14:15, London, Unauthorized access to government agency's confidential documents, Unauthorized Access, Government Agency, Insider Employee
54, 2024-03-12, 09:25, Tokyo, Cyberstalking incident reported by a public figure, Harassment, Public Figure, Online Stalker
55, 2024-03-11, 11:40, New York, Ransomware attack on a small business, Extortion, Small Business, Ransomware Gang
56, 2024-03-10, 16:05, Beijing, Identity theft through compromised social media accounts, Identity Theft, Social Media Users, Cybercriminal Group M
57, 2024-03-09, 08:35, Mumbai, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
58, 2024-03-08, 10:55, Sao Paulo, Phishing scam targeting online gaming community, Fraud, Online Gamers, Phishing Gang
59, 2024-03-07, 14:20, Moscow, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
60, 2024-03-06, 09:45, Berlin, Business email compromise (BEC) attack targeting real estate agents, Fraud, Real Estate Agents, Business Email Compromise Group C
61, 2024-03-05, 11:55, Los Angeles, Cyberbullying incident reported by a teenager, Harassment, Teenager, Cyberbully
62, 2024-03-04, 15:20, Toronto, Data breach at a healthcare insurance company, Data Breach, Insurance Company, Insider Employee
63, 2024-03-03, 08:50, Sydney, Phishing attack on a software development company, Fraud, Software Company, Phishing Gang
64, 2024-03-02, 10:15, Paris, Identity theft via fraudulent tax return filings, Identity Theft, Taxpayers, Fraudster
65, 2024-03-01, 14:40, London, Cyber espionage targeting aerospace industry, Cyber Espionage, Aerospace Companies, State-Sponsored Group N
66, 2024-02-29, 09:30, Tokyo, Insider trading probe at an investment firm, Financial Fraud, Investment Firm, Insider Employee
67, 2024-02-28, 12:55, New York, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group D
68, 2024-02-27, 16:10, Beijing, Phishing scam targeting cryptocurrency investors, Fraud, Cryptocurrency Investors, Phishing Gang
69, 2024-02-26, 10:20, Mumbai, Insider trading investigation at a stock brokerage, Financial Fraud, Stock Brokerage, Insider Employee
70, 2024-02-25, 14:45, Sao Paulo, Ransomware attack on a city's government systems, Extortion, City Administration, Ransomware Gang
71, 2024-02-24, 08:35, Moscow, Social media account hijacking for spreading malware, Fraud, Social Media Users, Cybercriminal Group O
72, 2024-02-23, 11:10, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
73, 2024-02-22, 13:30, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
74, 2024-02-21, 16:50, Toronto, Insider trading investigation at an investment bank, Financial Fraud, Investment Bank, Insider Employee
75, 2024-02-20, 09:40, Sydney, Data breach at a telecommunications company, Data Breach, Telecommunications Company, Insider Employee
76, 2024-02-19, 12:15, Paris, Cyberstalking and harassment incident reported by a blogger, Harassment, Blogger, Online Stalker
77, 2024-02-18, 14:40, London, Insider trading probe at a hedge fund, Financial Fraud, Hedge Fund, Insider Employee
78, 2024-02-17, 08:55, Tokyo, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
79, 2024-02-16, 10:30, New York, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group E
80, 2024-02-15, 15:05, Beijing, Identity theft through fraudulent credit card applications, Identity Theft, Individuals, Fraudster
81, 2024-02-14, 09:20, Mumbai, Cyber espionage targeting government agencies, Cyber Espionage, Government Agencies, State-Sponsored Group P
82, 2024-02-13, 11:45, Sao Paulo, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
83, 2024-02-12, 14:10, Moscow, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
84, 2024-02-11, 08:35, Berlin, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group F
85, 2024-02-10, 10:50, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group Q
86, 2024-02-09, 13:25, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
87, 2024-02-08, 16:40, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group R
88, 2024-02-07, 09:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
89, 2024-02-06, 12:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
90, 2024-02-05, 14:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group S
91, 2024-02-04, 08:55, New York, Unauthorized access to financial institution's servers, Unauthorized Access, Financial Institution, Insider Employee
92, 2024-02-03, 11:30, Beijing, Phishing email scam targeting senior citizens, Fraud, Senior Citizens, Phishing Gang
93, 2024-02-02, 13:55, Mumbai, Insider trading investigation at an investment bank, Financial Fraud, Investment Bank, Insider Employee
94, 2024-02-01, 17:20, Sao Paulo, Data breach at a telecommunications company, Data Breach, Telecommunications Company, Insider Employee
95, 2024-01-31, 09:30, Moscow, Business email compromise (BEC) attack targeting real estate agents, Fraud, Real Estate Agents, Business Email Compromise Group G
96, 2024-01-30, 12:55, Berlin, Phishing scam targeting online gaming community, Fraud, Online Gamers, Phishing Gang
97, 2024-01-29, 15:20, Los Angeles, Unauthorized access to government agency's confidential documents, Unauthorized Access, Government Agency, Insider Employee
98, 2024-01-28, 09:45, Toronto, Cyberstalking incident reported by a public figure, Harassment, Public Figure, Online Stalker
99, 2024-01-27, 11:55, Sydney, Ransomware attack on a small business, Extortion, Small Business, Ransomware Gang
100, 2024-01-26, 14:40, Paris, Identity theft through compromised social media accounts, Identity Theft, Social Media Users, Cybercriminal Group T
101, 2024-01-25, 08:50, London, Insider trading probe at a hedge fund, Financial Fraud, Hedge Fund, Insider Employee
102, 2024-01-24, 10:15, Tokyo, Phishing scam targeting university students, Fraud, University Students, Phishing Gang
103, 2024-01-23, 14:40, New York, Unauthorized access to financial institution's servers, Unauthorized Access, Financial Institution, Insider Employee
104, 2024-01-22, 16:50, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group H
105, 2024-01-21, 09:40, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group U
106, 2024-01-20, 12:15, Sao Paulo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
107, 2024-01-19, 14:40, Moscow, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group V
108, 2024-01-18, 08:35, Berlin, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
109, 2024-01-17, 10:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
110, 2024-01-16, 15:05, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group W
111, 2024-01-15, 09:20, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
112, 2024-01-14, 11:45, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group I
113, 2024-01-13, 14:10, London, Social media account hijacking for spreading malware, Fraud, Social Media Users, Cybercriminal Group X
114, 2024-01-12, 08:35, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
115, 2024-01-11, 10:50, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
116, 2024-01-10, 13:25, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
117, 2024-01-09, 16:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
118, 2024-01-08, 09:45, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
119, 2024-01-07, 14:20, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
120, 2024-01-06, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group J
121, 2024-01-05, 10:30, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group Y
122, 2024-01-04, 13:55, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
123, 2024-01-03, 16:10, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group Z
124, 2023-12-31, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
125, 2023-12-30, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
126, 2023-12-29, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group AA
127, 2023-12-28, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
